x,y
0.000000001,635.108433946944
0.100000001,643.286880813063
0.200000001,643.979878388472
0.300000001,644.385210224689
0.400000001,644.672954130234
0.500000001,644.896113052919
0.600000001,645.078309876148
0.700000001,645.232512241869
0.800000001,645.365980450434
0.900000001,645.483854009361
1.100000001,645.684355262294
1.200000001,645.771436225334
1.300000001,645.851466143658
1.400000001,645.925536919948
1.500000001,645.994450500147
1.600000001,646.059110406614
1.700000001,646.119721678983
1.800000001,646.176856402339
1.900000001,646.23088538746
2.000000001,646.282121281874
2.100000001,646.331032407195
2.200000001,646.377537680301
2.300000001,646.421968088652
2.400000001,646.464498029988
2.500000001,646.50528020496
2.600000001,646.544449041537
2.700000001,646.582326252645
2.800000001,646.618676048398
2.900000001,646.653744302181
3.000000001,646.687616670449
3.100000001,646.720370254691
3.200000001,646.75207469471
3.300000001,646.782793094979
3.400000001,646.812814010285
3.500000001,646.841779042214
3.600000001,646.869922849692
3.700000001,646.897289647748
3.800000001,646.923920058753
3.900000001,646.949851488815
4.000000001,646.975319390592
4.100000001,646.999990773276
4.200000001,647.024063593482
4.300000001,647.04756551712
4.400000001,647.07052227272
4.500000001,647.092957826995
4.600000001,647.114894541246
4.700000001,647.136557410463
4.800000001,647.157588261464
4.900000001,647.178182004012
