x,y
0.000000001,-4.552392355261
0.100000001,-0.999999995667
0.200000001,-0.69898938419
0.300000001,-0.522929339826
0.400000001,-0.397944820356
0.500000001,-0.301013451246
0.600000001,-0.221874390569
0.700000001,-0.154895009914
0.800000001,-0.096921723284
0.900000001,-0.045722132825
1.000000001,0
1.100000001,0.041367644814
1.200000001,0.07919215512
1.300000001,0.113953971764
1.400000001,0.146127373887
1.500000001,0.176060694941
1.600000001,0.20414638914
1.700000001,0.230473517553
1.800000001,0.255290571212
1.900000001,0.278758615583
2.000000001,0.30101345233
2.100000001,0.322258501755
2.200000001,0.342458544571
2.300000001,0.361757348579
2.400000001,0.380230665228
2.500000001,0.397944821614
2.600000001,0.414958207904
2.700000001,0.431410563413
2.800000001,0.44719947038
2.900000001,0.462431726435
3.000000001,0.477144537341
3.100000001,0.491371392918
3.200000001,0.505142541931
3.300000001,0.518485394455
3.400000001,0.531525287226
3.500000001,0.54410654621
3.600000001,0.556331097925
3.700000001,0.568218147619
3.800000001,0.579785340038
3.900000001,0.591048922908
4.000000001,0.602111167509
4.100000001,0.612827435864
4.200000001,0.623283712462
4.300000001,0.633492014275
4.400000001,0.643463516753
4.500000001,0.653208630085
4.600000001,0.662737067131
4.700000001,0.672146556776
4.800000001,0.681281522819
4.900000001,0.690226626319
