x,y
0.000000001,-10.480683219204
0.100000001,-2.302236353085
0.200000001,-1.609238777676
0.300000001,-1.20390694146
0.400000001,-0.916163035915
0.500000001,-0.693004113229
0.600000001,-0.51080729
0.700000001,-0.35660492428
0.800000001,-0.223136715714
0.900000001,-0.105263156787
1.000000001,0
1.100000001,0.095238096145
1.200000001,0.182319059185
1.300000001,0.262348977509
1.400000001,0.3364197538
1.500000001,0.405333333999
1.600000001,0.469993240465
1.700000001,0.530604512834
1.800000001,0.587739236191
1.900000001,0.641768221312
2.000000001,0.693004115726
2.100000001,0.741915241046
2.200000001,0.788420514152
2.300000001,0.832850922503
2.400000001,0.87538086384
2.500000001,0.916163038811
2.600000001,0.955331875388
2.700000001,0.993209086497
2.800000001,1.02955888225
2.900000001,1.064627136032
3.000000001,1.098499504301
3.100000001,1.131253088543
3.200000001,1.162957528562
3.300000001,1.193675928831
3.400000001,1.223696844137
3.500000001,1.252661876065
3.600000001,1.280805683544
3.700000001,1.308172481599
3.800000001,1.334802892604
3.900000001,1.360734322667
4.000000001,1.386202224443
4.100000001,1.410873607128
4.200000001,1.434946427333
4.300000001,1.458448350972
4.400000001,1.481405106572
4.500000001,1.503840660846
4.600000001,1.525777375097
4.700000001,1.547440244315
4.800000001,1.568471095316
4.900000001,1.589064837864
